CODIGO;DETERMINACIONES;Frecuencia
660001;ACTO BIOQUÍMICO;PMO
660002;ACETONURIA.;PMO
660004;ACIDIMETRIA GASTRICA , CURVA DE;PMO
660005;ÁCIDO BASE, Estado Ácido Base (EAB).;PMO
660006;ACTH - HORMONA ADRENOCORTICOTROFINA.;PMO
660007;ADDIS, RECUENTO DE;PMO
660009;ADRENALINA, plasmática (CATECOLAMINA plasmática);PMO
660010;ADRENALINA, urinaria  (CATECOLAMINA urinaria);PMO
660014;AGLUTININAS del SISTEMAS ABO.;PMO
660015;ALBUMINA - sérica;PMO
660016;ALCOHOL DEHIDROGENASA, ADH.;PMO
660017;ALCOHOL ETÍLICO - sangre (ALCOHOLEMIA);PMO
660018;ALDOLASA (Ald);PMO
660019;ALDOSTERONA.;PMO
660020;ALFA FETO PROTEINA (AFP);PMO
660022;AMILASA - sérica.;PMO
660023;AMILASA - urinaria.;PMO
660025;AMINOÁCIDOS FRACCIONADOS (Cromatografía - por fracción) -cualitativo;PMO
660027;AMINOACIDURIA FRACCIONADA (Cromatografía - por fracción) -cualitativo;PMO
660028;AMNIOTICO, LÍQUIDO CELULAS NARANJAS.;PMO
660029;AMNIOTICO, LÍQUIDO (Espectrofotometría - Test de Lisley);PMO
660030;AMNIOTICO, LÍQUIDO LECITINA - ESFINGOMIELINA.;PMO
660031;AMONEMIA.;PMO
660033;ANGIOTENSINA I;PMO
660035;ANTIBIOGRAMA (ATBG);PMO
660036;ANTIBIOGRAMA BACILO DE KOCH (7) siete antibióticos.;PMO
660040;ANTICUERPOS ANTIGLOMERULAR , (IFI);PMO
660041;ANTICUERPOS ANTIMEMBRANA BASAL, (IFI);PMO
660042;ANTICUERPO ANTIMUSCULO LISO (ASMA), (IFI);PMO
660046;ANTICUERPOS ANTITIROGLOBULINA (ATG);PMO
660049;ANTIDESIXIRRIBONUCLEASA - ADNEASA – Anti-DNA.;PMO
660051;"ANTIESTREPTOLISINAS ""O"" (ASO / ASTO / AELO), cuantitativa";PMO
660053;ANTIFÚNGICOS - PRUEBA DE SENSIBILIDAD;PMO
660055;ANTIMITOCONDRIALES , ANTICUERPOS (AMA);PMO
660056;ANTINUCLEARES ANTICUERPOS (FAN / ANA / AAN);PMO
660057;ANTITRIPSINA, Alfa 1 (?1 AT) - Líq. Pleural o Mat. Fecal o Sérica - C/U - (por I.D.-Cuantitativa);PMO
660058;ANTITROMBINA III - con calibración de tres (3) puntos.;PMO
660059;ARSENICO (As) - sérico o urinario.;PMO
660060;ASCORBICO, ÁCIDO - sérico ;PMO
660063;ANTICUERPOS Anti- HIV (ELISA);PMO
660101;BACILOSCOPIA DIRECTA - ZIEHL NEELSEN (por muestra);PMO
660102;BACILOSCOPIA, DIRECTA y CULTIVO (por muestra);PMO
660103;BACILOSCOPIA, (IFI - por muestra);PMO
660104;BACTERIOLOGIA, DIRECTA (Coloración de Gram);PMO
660105;BACTERIOLOGICO, DIRECTO-CULTIVO e IDENTIFICACIÓN del GÉRMEN;PMO
660107;BARBITÚRICOS - urinarios.;PMO
660108;BENCE- JONES, PROTEINAS de (HPLC / IMF);PMO
660109;BICARBONATO.;PMO
660110;BILIRRUBINEMIA TOTAL, DIRECTA E INDIRECTA.;PMO
660111;BILIRRUBINURIA.;PMO
660120;C3 - COMPLEMENTO ;PMO
660121;C4 - COMPLEMENTO;PMO
660130;CADENA LIVIANA KAPPA Y LAMBDA - sérico (IMF);PMO
660131;CADENA LIVIANA KAPPA Y LAMBDA - urinario (IMF);PMO
660132;CADMIO (Cd) - urinario.;PMO
660133;CALCEMIA TOTAL (Ca);PMO
660134;CALCIO IONICO.;PMO
660136;CALCIO - urinario.;PMO
660137;CALCITONINA - sérica.;PMO
660138;CALCULO - urinario.;PMO
660139;CARBONICO, ANDHIDRICO - (PCO2);PMO
660140;CARIOTIPO, MAPA CROMOSOMICO.;PMO
660141;CAROTENO BETA - sérico.;PMO
660144;CEA - ANTÍGENO CARCINOEMBRIOGENICO.;PMO
660148;CELULAS NEOPLASICAS - líquidos, exudados, trasudados.;PMO
660150;CEREBROSIDOS (Cromatográfico).;PMO
660151;CERULOPLASMINA.;PMO
660152;CETOGENOESTEROIDES - urinarios.;PMO
660154;CETONEMIA.;PMO
660164;CITOLOGIA EXFOLIATIVA - VAGINAL HORMONAL (por cada muestra);PMO
660167;CITRICO, ÁCIDO - líquido seminal (ESTUDIO DEL SEMEN);PMO
660168;CLORO (Cl) - sérico.;PMO
660169;COAGULACION, TIEMPO DE;PMO
660170;COAGULO, RETRACCION DEL;PMO
660171;COAGULOGRAMA;PMO
660172;COBRE (Cu) - sérico.;PMO
660173;COCAINA (Inmunocromatografía/Cromatográfico);PMO
660174;COLESTEROL TOTAL;PMO
660176;COLONIAS, RECUENTO DE.;PMO
660177;COMPATIBILIDAD - sangre materna.;PMO
660178;COMPATIBILIDAD MATRIMONIAL - sanguínea en cónyuges.;PMO
660179;COMPLEMENTO, ACTIVIDAD TOTAL.- COMPLEMENTO 50% LISIS (CH-50);PMO
660181;CONCENTRACIÓN DE LIQUIDOS BIOLÓGICOS.;PMO
660183;COOMBS DIRECTA MONOESPECÍFICA, PRUEBA DE (c/u);PMO
660184;COOMBS DIRECTA POLIESPECÍFICA, PRUEBA DE;PMO
660186;COOMBS INDIRECTA;PMO
660187;COPROCULTIVO.;PMO
660188;COPROPORFIRINAS o PORFIRINAS - materia fecal;PMO
660189;CORTISOL.;PMO
660190;CREATINQUINASA - CPK.;PMO
660191;CREATININA - en orina;PMO
660192;CREATININA - en sangre;PMO
660193;CREATININA, CLEARENCE DE DEPURACION.;PMO
660194;CRIOAGLUTININA.;PMO
660195;CRIOGLOBULINAS.;PMO
660241;CHAGAS (AD);PMO
660242;CHAGAS (HAI);PMO
660243;CHAGAS, Ac. Totales / IgG (IFI / ELISA / QL);PMO
660244;CHAGAS, PARASITEMIA.;PMO
660245;CHAGAS, SEROLOGÍA - CONFIRMATORIO;PMO
660262;DEHIDROEPIANDROSTERONA, SULFATO - DHEA-S.;PMO
660264;DESCARTABLE, MATERIAL COMPLEMENTARIO (DMC).;PMO
660268;DIGOXIN (DIGOXINA);PMO
660269;DISACARIDASAS.;PMO
660272;DOMICILIO EN RADIO URBANO - HASTA DOS (2) Kms.;PMO
660273;DOMICILIO A MAS DE DOS (2) Kms. - ADICIONAL por c/Km.;PMO
660293;EMBARAZO, REACCIÓN INMUNOLÓGICA PARA;PMO
660295;EOSINÓFILOS, RECUENTO de (en moco nasal);PMO
660297;ERITROSEDIMENTACION;PMO
660298;ESPERMOGRAMA BASICO (EIVE);PMO
660299;ESTRICNINA - líquidos biológicos.;PMO
660300;ESTRADIOL (E2) - sérico;PMO
660301;ESTRIOL - urinario.;PMO
660302;ESTRIOL - sérico.;PMO
660305;ESTRONA - sérica.;PMO
660307;ETANOL, ALCOHOL ETÍLICO - urinario. (ALCOLURIA);PMO
660308;EUGLOBULINAS, TEST DE;PMO
660309;EXUDADO NASOFARINGEO, CULTIVO.;PMO
660331;FACTOR DE COAGULACION V.;PMO
660332;FACTOR DE COAGULACION VII.;PMO
660333;FACTOR DE COAGULACION VIII.;PMO
660334;FACTOR DE COAGULACION IX.;PMO
660335;FACTOR DE COAGULACION X.;PMO
660336;FACTOR DE MIGRACION LINFOCITARIA - MIF.;PMO
660337;FENILALANINA CONFIRMATORIO (HPLC);PMO
660338;FENILALANINA, NEONATAL (PKU);PMO
660340;FENILPIRUVICO, ÁCIDO - urinario (cualitativo);PMO
660342;FENOTIAZINAS.;PMO
660343;FERREMIA (Fe);PMO
660344;FIBRINOGENO, PRODUCTOS DE DEGRADACION - PDF - plasmático.;PMO
660345;FIBRINOGENO - sangre.;PMO
660349;FISICO QUIMICO - Examen de Exudados, Trasudados.;PMO
660350;FLUOREMIA (F);PMO
660351;FLUORURIA.;PMO
660352;FOLICO, ÁCIDO.;PMO
660353;FONDO OSCURO.;PMO
660354;FORMULA LEUCOCITARIA.;PMO
660355;FOSFATASA ACIDA PROSTATICA (EFM).;PMO
660356;FOSFATASA ACIDA TOTAL (EFM).;PMO
660357;FOSFATASA ALCALINA (FAL);PMO
660360;FOSFATASA ALCALINA TERMOESTABLE.;PMO
660361;FOSFATASA ALCALINA - ISOENZIMAS.;PMO
660362;FOSFATEMIA (P);PMO
660363;FOSFATURIA (P);PMO
660366;FOSFORO CLEARENCE DEPURACION.;PMO
660370;FSH - HORMONA FOLÍCULO ESTIMULANTE.;PMO
660371;FTA/ ABS (IFI - ELISA) SIFILIS y TPHA.;PMO
660373;FUNCIONAL, EXAMEN DE MATERIA FECAL - básico;PMO
660402;GALACTOSEMIA.;PMO
660404;GASES EN SANGRE, PCO2 y PO2.;PMO
660405;GASTRINA, sérica.;PMO
660408;GLOBULOS BLANCOS, RECUENTO y FORMULA - materia fecal.;PMO
660409;GLOBULOS BLANCOS, RECUENTO DE;PMO
660410;GLOBULOS ROJOS, RECUENTO DE;PMO
660411;GLUCAGON.;PMO
660412;GLUCEMIA (C/U);PMO
660413;GLUCEMIA, PRUEBA de SOBRECARGA (x 2 - dos determinaciones);PMO
660416;GLUCOPROTEINOGRAMA.;PMO
660417;GLUCOSA en orina (C/U);PMO
660418;GLUCOSA 6-FOSFATO ISOMERASA;PMO
660420;GLUTAMIL TRANSPEPTIDASA. Gamma-;PMO
660430;GRAHAM, TEST DE;PMO
660432;GRASAS, CUANTITATIVO (Van de Kamer) - materia fecal;PMO
660433;GRUPO SANGUÍNEO y FACTOR Rho - Du / Dµ;PMO
660463;HAPTOGLOBINA.;PMO
660464;HEINZ, CUERPOS DE (tinción);PMO
660465;HEMATIES, RESISTENCIA GLOBULAR OSMOTICA (CURVA DE FRAGILIDAD OSMOTICA DE ERITROCITOS);PMO
660466;HEMATOCRITO.;PMO
660468;HEMOCULTIVO AEROBIOS (c/u);PMO
660470;HEMOGLOBINA, DOSAJE DE (Hb);PMO
660471;HEMOGLOBINA, ELECTROFORESIS.;PMO
660472;HEMOGLOBINA - plasmática;PMO
660475;HEMOGRAMA.;PMO
660479;HEMOSIDERINA - urinaria;PMO
660480;HEPARINA, RESISTENCIA A LA (In Vitro);PMO
660481;HEPATOGRAMA.;PMO
660483;HIDATIDOSIS (HAI);PMO
660484;HIDATIDOSIS, Ac. IgG ó Totales Anti- (IFI);PMO
660487;HIDROXINDOLACETICO, ÁCIDO.;PMO
660488;HIDROXIPROLINA - urinaria.;PMO
660489;HIPERHEPARINEMIA.;PMO
660494;HUDDLESSON, REACCION DE (Rosa de Bengala - Brucelosis).;PMO
660531;MYCOBACTERIUM, IDENTIFICACION.;PMO
660532;IDENTIFICACION SEROLÓGICA DE GERMENES.;PMO
660535;INMUNOELECTROFORESIS.;PMO
