Código Nomenclador;Descripción;Q GAL;Q GAL AY;ANEST;Gto;Q Ay;Norma;Unidad Arancelaria;Forma de Facturación
10101;Tratamiento quirúrgico del encefalomeningocele (cráneo bífido) de las malformaciones de la charnela occipitoatloídea y otras malformaciones de la región.;531,75;106,5;186;361;2;;A;
10102;Tratamiento quirúrgico de la craneostenosis. En uno o dos tiempos.;478,5;95,25;159,75;273;2;;A;
10103;Craneoplastias con injerto oseo o protesicas. Incluye eventual toma de injerto.;478,5;95,25;159,75;313;2;;A;
10104;Reducción abierta de fracturas de cráneo con elevación o extracción de fragmentos.;252,75;51;104,25;276;2;;A;
10105;Escisión de lesión tumoral, infecciosa, parasitaria,etc. De huesos del cráneo (con o sin compromiso de estructuras vecinas).;228;45;104,25;127;2;;A;
10106;Descompresión orbital unilateral.;531,75;106,5;186;220;2;;A;
10201;Ventriculocisternostomías (apertura de las láminas terminales, ventrículocisterna magna y otras similares). Como única operación.;637,5;127,5;239,25;361;2;;A;UNICO CODIGO
10202;Derivación ventrículoaurícula derecha -ventrículoatriostomia-. Derivación ventrículo peritoneal o similar. Válvula de Puden, Válvula de Holster. Valvula de Hakin o similares. Como única operación.;372,75;74,25;132,75;281;2;;A;UNICO CODIGO
10203;Revisión de válvulas derivativas o restitución parcial o total.;252,75;51;104,25;276;2;;A;
10204;lobectomía parcial o total por traumatismo o epilepsia;744;149,25;239,25;328;2;;A;
10205;Tractotomía espinotalámica, trigeminal o mesencefálica. Cingulectomías o similares.;637,5;127,5;186;366;2;;A;
10206;Tratamiento quirúrgico de los aneurismas y malformaciones arteriovenosas intracraneales (aneurismas, malformaciones rateriovenosas,fístula carótidocavernosa). (X);797,25;159,75;292,5;366;2;;A;
10207;Evacuación por punción, de colección intercerebral, epidural, subdural y/o subaracnoidea ( hematoma, hidroma, absceso.).;228;45;104,25;137;2;;A;
10208;Craneotomía exploradora, con o sin biopsia, evacuación de colección intracerebral, epídural,subdural y/o subaracnoidea, extracción de cuerpo extra?o, etc. (X);531,75;106,5;212,25;276;2;;A;
10209;Reparación plástica de senos craneales y/o meninges. Rinolicuorrea, otolicuorrea, neumucefalia, Fístulas. (Por craneot.);531,75;106,5;212,25;356;2;;A;
10210;Escisión de lesión tumoral intracraneana (neoplasia benigna o maligna cualquiera sea su ubicación) con o sin lobectomía.;744;149,25;239,25;366;2;;A;
10211;Drenaje ventricular contínuo. Como única operación.;119,25;30;80,25;346;1;;A;UNICO CODIGO
10212;Extracción de tubos en operaciones derivativas craneanas. Como única operación.;119,25;30;80,25;180;1;;A;UNICO CODIGO
10213;Intervenciones estereotáxicas. Por los diversos métodos.;637,5;127,5;239,25;358;1;;A;
10214;Punción diagnóstica o terapeutica de ventrículo por trepanación.;119,25;30;80,25;180;1;;A;
10215;Punción transfontanelar de ventrículos o subdural, terapeutica o diagnóstica.;26,25;0;0;7;0;;A;
10301;Reparación de defectos congénitos del complejo vertebromeningomedular (espina bífida con meringocele o mielomelingocele, diastomiella, etc.);478,5;95,25;186;352;2;;A;
10302;Tratamiento quirúrgico de las lesiones adquiridas del complejo vertebromeningomedular, (escisión, exploración,evacuaciones, liberación de adherencias, cuerpo extra?o.) lesiones únicas o múltiples por la misma incisión.;372,75;74,25;159,75;352;2;;A;
10303;Extirpación o ligadura de aneurismas o malformaciones arteriovenosas medulares.;956,25;191,25;239,25;366;2;;A;
10304;Cordotomía espinotalámica. Cordotomía ánterolateral, mieolotomía comisural, cordotomía posterior.;531,75;106,5;159,75;356;2;;A;
10305;Rizotomía, radicotomía posterior.;372,75;74,25;159,75;356;2;;A;
10306;Sección de ligamentos dentados.;372,75;74,25;159,75;356;2;;A;
10307;Punción raquídea doble con pruebas manometricas.;26,25;0;0;7;0;;A;
10308;Punción cisternal con o sin manometría.;39,75;0;0;7;0;;A;
10309;Punción lumbar con o sin manometría. (X);0;0;0;7;0;;A;INCLUIDO EN CONSULTA
10310;VERTEBROPLASTIAS;;;;;;;;
10401;Neurotomía o descompresión retrogaseriana trigeminal. Por vía temporal o posterior.;531,75;106,5;186;356;2;;A;
10402;Neurolisis transoval del trigémino.;119,25;0;0;7;0;;A;
10403;Neurotomía del intermediario, vestibular o glosofaríngeo. Abordaje por fosa posterior.;531,75;106,5;186;281;2;;A;
10404;Intervenciones sobre nervios ópticos.;797,25;159,75;239,25;273;2;;A;
10405;Neurotomía del supraorbitario, infraorbitario,dentario inferior, suboccipital y temporal superficial.;101,25;30;80,25;124;1;;A;
10406;Neurotomía selectiva del facial o del glosofaríngeo o neumogástrico cervical.;119,25;30;80,25;267;1;;A;
10407;Injerto y/o anastomosis de nervio facial, hipogloso, espinal o similares.;252,75;51;104,25;266;2;;A;
10408;Neurolisis extracraneal. Alcoholización o similar.;26,25;0;0;168;0;;A;
10409;Bloqueo extracraneal antiálgico.;0;0;0;7;0;;A;INCLUIDO EN CONSULTA
10501;Tratamiento quirúrgico ( exploración, neurorrafia, escisión de neurona ) por patología del plexo cervicobraquial.;252,75;51;104,25;271;2;;A;
10502;Tratamiento quirúrgico ( exploración, neurorrafia, escisión de neurona ) por patología del plexo lumbosacro.;303;61,5;127,5;271;2;;A;
10503;Neurorrafia, injerto, tubulización,escisión de lesión tumoral del nervio radial, mediano, cubital femoral, ciático,poplíteo, tibial y peroneo.;201,75;39,75;87;266;2;;A;
10504;Transposición del cubital.;119,25;30;80,25;177;1;;A;
10505;Descompresión del mediano a nivel del túnel carpiano (sección ligamento anular anterior del carpo).;80,25;30;80,25;124;1;;A;
10506;Escisión de lesión tumoral de nervio periférico ( neurona de amputación, neurona de Morton, etc.) no mencionados en otros códigos.;61,5;30;80,25;183;1;;A;
10507;Neurolisis quirúrgica de nervio periferico.;39,75;30;80,25;182;1;;A;
10508;Neurolisis química o bloque antiálgico de nervio periférico.;0;0;0;7;0;;A;INCLUIDO EN CONSULTA
10601;Simpactetomía cervical.;119,25;30;80,25;266;1;;A;
10602;Simpactetomía torácica.;252,75;51;127,5;267;2;;A;
10603;Simpactetomía lumbar ( por lumbotomía ).;201,75;39,75;87;267;2;;A;
10604;Resección de plexos hipogástricos superior o inferior.;252,75;51;104,25;215;2;;A;
10605;Simpactetomía periarterial carotídea, humeral, femoral o similar.;101,25;30;80,25;266;1;;A;
10606;Inyección paravertebral de troncos y ganglios simpáticos.? Simpático cervical, torácico, lumbar, esplácnico y semilunar..;0;0;0;7;0;;A;INCLUIDO EN CONSULTA
10701;Ventriculografía por inyección de medio contraste ( líquido o gaseoso ). Incuye trepanación.;80,25;30;80,25;178;1;;A;
10702;Pan-arteriografía cerebral por cateterismo. Uni o bilateral.;119,25;30;80,25;83;1;;A;
10703;Arteriografía carotídea o vertebral. Por disección o punción directa. (X);66;0;80,25;78;0;;A;
10704;Neumoencefaloventriculografía fraccionada ( cisternografía );66;0;80,25;78;0;;A;
10705;Mielografía ascendente o descendente. Cisternografía. Mielografía. Radiculografía. (X);66;0;80,25;36;0;;A;
