Codigo;Descripcion
425001;Teleconsulta
425002;CHEQUEO MODULO CONTROL GINECOLOGICO ANUAL DE 40 A 50 AÑOS
425003;CHEQUEO MODULO CONTROL GINECOLOGICO ANUAL HASTA 40 AÑOS
425004;CHEQUEO MODULO CONTROL GINECOLOGICO ANUAL MAYOR DE 50 AÑOS
425005;CHEQUEO MODULO CONTROL PEDIATRICO ANUAL HASTA 17 AÑOS OPCION A
425006;CHEQUEO MODULO CONTROL PEDIATRICO ANUAL HASTA 17 AÑOS OPCION B
425007;CHEQUEO MODULO CONTROL PEDIATRICO ANUAL HASTA 17 AÑOS OPCION C
425008;CHEQUEOS PREVENTIVOS DE SALUD DE 51 A 64 AÑOS -
425009;CHEQUEOS PREVENTIVOS DE SALUD DE MAYORES 65 AÑOS -
425010;CHEQUEOS PREVENTIVOS DE SALUD HASTA 50 AÑOS -
425011;Consulta Adicional  IVE/ILE
425012;INTERCONSULTA POR TEMAS MAMARIOS
425013;Consulta Otoneurológica 
425014;DETERMINACION DE FIBROSIS     
425015;Atención en servicio de enfermería (por ejemplo, nebulización, inyección subcutánea o intramuscular, curación, lavado gástrico)
425016;Acompañante terapéutico, hasta 8 horas
425017;Acompañante terapéutico, hasta 6 horas
425018;Acompañante terapéutico, hasta 4 horas
425019;Acompañante terapéutico, hasta 1 horas
425033;Consulta especialista 
425034;Consulta Infectología
425035;Consulta Traumatología
425036;Consulta Psiquiatría (internación)
425037;CONSULTA CON PSICO ONCOLOGO
425038;Consulta Vestida Ginecologia
425039;Consulta Vestida Hematologia
425040;Consulta Nutricionista
425041;MODULO CONSULTA Y ESTUDIOS RUTINA(475-297-481-876-412-174-902-904-711-677-998 + consulta médica)
425042;Consulta otros especialistas
425043;Consulta Especialista Pediatría
425045;CONSULTA ESPECIALISTA EN INTERNACIÓN PEDIÁTRICA 
425046;Consulta en Internación-Pensión Adultos
425047;Consulta en Internación-Pediatría o Nursery
425048;Consulta Internación -Unidad Quemados
425050;Aplicación Vacunas Calendario Nacional
425051;Aplicación Vacunas Fuera de Calendario Nacional
425054;INTERCONSULTA ESPECIALIZADA C/INFORME
425055;APLIC.SUBCUTAN.INTRA MUSCULAR 
425056;Chequeo Básico de Salud con o sin capacidad aeróbica máxima
425057;Consulta Equipo Interdisciplinario
425058;CONSULTA APTO ACTIVIDAD DEPORTIVA ( + ESTUDIOS)
425062;Otras consultas
425063;EVALUACIÓN CLÍNICA ORL 
425064;PROGRAMA DE APTITUD ESCOLAR
425065;A.COMPLEJIDAD PEDIATRICO:INCLUYE EVALUACION MEDICA DE INICIO/SEGUIMIEN
425066;MEDIA COMPLEJIDAD PEDIATRICO.INCL.EVALUACION MEDICA INICIO Y SEGUIMIEN
425067;BAJA COMPLEJIDAD PEDIATRICO:INCL.EVALUACION MEDICA INICIO Y SEGUIMIENT
;
;Atención en Guardia
425020;Consulta Médica de Guardia
425021;Consulta Médica de Guardia ginecológica
425022;Consulta Médica de Guardia oftalmológica
425024;Consulta Médica de Guardia pediatria
425025;Consulta Médica de Guardia traumatológica
425026;Módulo de Observación en Guardia hasta 8 horas Diurna. 
425027;Módulo de Observación en Guardia hasta 8 horas Nocturna. 
425028;Módulo de Observación en Guardia hasta 6 horas 
425029;Módulo de Observación en Guardia hasta 2 a 4 horas 
425044;Consulta Médica de Guardia Especialista
425049;Módulo de Observación en Guardia  6hs/12 hs.
425052;Ventilación No Invasiva- 
425053;CONSULTA STROKE GUARDIA NEUROL
425060;AISLAMIENTO EN GUARDIA
425061;Consulta de Guardia Nocturna /Sábado/Domingo/ Feriado 
425068;Triage  de enfermería en guardia
 ; 
;Emergentología
425030;Teleconsulta de emergencia
425031;Atención de paciente en emergencia y/o urgencia médica con móvil de alta complejidad, con o sin traslado
425032;Traslado de paciente en modo aéreo helicóptero, para emergencia y/o urgencia médica 
425059;Reanimación CardioPulmonar (RCP)
;Hospital de día
426001;Habitación en Hospital de Día-Pediatría
426002;Asistencia Clínica-Hospital de Día Pediatría
426003;Habitación en Hospital de Día -Adultos
426004;Derecho Clínico-Hospital de Día Adultos
426005;CONSULTA EN HOSP.DIA CLIN. (A)
426006;CONSULTA EN HOSP.DIA CLIN. (I)
426007;MÓDULO HEMATOLÓGICO DE HOSPITAL DE DÍA (HASTA 6 HS.)
426008;MÓDULO HEMATOLÓGICO DE HOSPITAL DE DÍA (HASTA 3 HS.)
426009;DIAGNÓSTICO ETIOLÓGICO DE HIPERTENSIÓN ARTERIAL HOSPITAL DE DÍA
426010;DIAGNÓSTICO DE RIESGO CARDIOVASCULAR EN EL PACIENTE HIPERTENSO
426011;MÓDULO DE EVALUACIÓN DEL PACIENTE DIABÉTICO
426012;CUIDADOS PALIATIVOS MODULO I 
426013;CUIDADOS PALIATIVOS MODULO II
426014;CUIDADOS PALIATIVOS MODULO III
426015;MODULO PARA ESTUDIO DIAGNOSTICO DE HIPERINSULINISMO CONGENITO
;
;
;Internación
437001;Módulo Día Clínico
437002;Módulo Día Clínico Habitación compartida
437003;Módulo Dia clinico hab. Individual / 
437004;Adicional por Acompañante (cama para pernoctar y desayuno hab. VIP  
437005;Adicional por acompañante (cama para pernoctar y desayuno hab comun  
437006;Módulo de Observación  hasta 12 horas
437007;Módulo de Observación hasta 8 horas
437008;Módulo de Observación hasta 6 horas
437009;Habitación en piso
437010;Derecho Clínico- Pensión Adultos
437011;Habitación en Sala de Quemados
437012;Derecho Clínico-Unidad de Quemados
437013;Habitación Individual en Pediatria
437014;Asistencia Clínica- Pediatría
437015;Nursery - Por día
437016;Habitación Individual en Maternidad
437017;MODULO DIA CLINICO PEDIATRICO
437018;MODULO DIA QUIRURGICO ADULTO 1ER DIA
437019;MODULO DIA QUIRURGICO ADULTO SUBSIGUIENTE
437020;MODULO DIA QUIRURGICO PEDIAT. 1ER DIA
437021;MODULO DIA QUIRURGICO PEDIATRICO SUBSIGUIENTE
437022;MODULO QUIRURGICO UNICO ADULTO
437023;MODULO QUIRURGICO UNICO PEDIATRICO
437024;AISLAMIENTO EN INTERNACION
437025;MÓDULO I – INTERNACIÓN DE LOS DÍAS 1 A 3
437026;MÓDULO II - INTERNACIÓN DE LOS DÍAS 4 Y 5, POR DÍA
437027;MÓDULO III - INTERNACIÓN DE LOS DÍAS 6 Y 7, POR DÍA
