CODIGO;Descripción
010101;TRAT QUIR.ENCEFALOM.O M.R
010102;TRAT. QUIRURGICO DE LA CR
010103;CRANEOPPLASTIA CON INJERT
010104;RED.ABIE.FRAC.DE CRA.C.EL
010105;ESC.LES.TUMOR.INF.PARAS.H
010106;DESCOMP. ORBIT. UNILATERA
010201;VEN.CIST.APER.DE LAM.TER.
010202;DERIV.VENT.DER.PERIT.O SI
010203;REV.VALV.DERIV.O REST.PAR
010204;LOBEC.PARC.O TOT.POR TRA
010205;TRACT.ESPI.TRIG.O MESE.CI
010206;TRAT.QUIR.ANEU.Y MALF.ART
010207;EVAC.POR PUN.DE COL.INTER
010208;CRAN.EXPLO.C/S BIOP.EVAC.
010209;REP.PLAST.SENOS CRAN.Y/O
010210;ESC.LES.TUM.INTRAC.NEO.BE
010211;DRENAJE VENT.CONTINUO
010212;EXTRAC.TUBO EN OPER.DER.
010213;INTERV.ESTEREOTAXICAS
010214;PUNC.DIAG.O TERAP.VENTRI.
010215;PUNCION TRANS DE VENT.O S
010301;REP DEF CONG COP VERT NIN
010302;TRAT QUIR LESI COMP VERTR
010303;EXT O LIG NEURISMAS MAL F
010304;CORDOTOMIA ESPINOTALAMICA
010305;RIZOTOMIA RADICOTOMIA POS
010306;SECCION DE LIGAMENTOS DEN
010307;PUNCION RAQUIDEA DOBLE CO
010308;PUNCION CISTERNAL CON O S
010309;PUNCION LUMBAR CON O SIN MANOMETRIA
010401;NEUROTOMIA O DESCOMP. RET
010402;NEUROLISIS TRANSOVAL DEL
010403;NEUROTOMIA DEL INTERMEDIA
010404;INTERVENCIONES SOBRE NERV
010405;NEUROTOMIA DEL SUPRAORBIT
010406;NEUROTOMIA SELECTIVA DEL
010407;INJERTO Y/O ANASTOMOSIS N
010408;NEUROLISIS EXTRACRANEAL A
010409;BLOQUEO EXTRACRANEAL ANTI
010501;TRAT. QUIR. EXPLO. NEUROR
010502;TRAT. QUIR. REUR. EXP. DE
010503;NEURORRAFIA INJ. TUBULIZA
010504;TRANSPOSICION DEL CUBITAL
010505;DESCOMPRESION DEL MEDIANO
010506;ESCISION DE LESION TUMORA
010507;NEUROLISIS QUIR. NERV. PE
010508;NEUROLOSIS QUIM.O BLOQUEO
010601;SIMPATECTOMIA CERVICAL
010602;SIMPATECTOMIA TORACICA
010603;SIMPATECTOMIA LUMBAR POR
010604;RESECCION DE PLEXOS HIPOG
010605;SIMPATECTOMIA PARAVERTEBR
010606;INYECCION PARAVERTEBRAL D
010701;VENTRICULOGRAFIA POR INYE
010702;PAN-ARTERIOGRAFICA CEREBR
010703;ARTERIOGRAFIA CARTIDEA O
010704;NEUMOENCEFALOVENTRICULOGR
010705;MIELOGRAFIA ASCENDENTE O
010706;DISCOGRAFIA NEUROGRAFIA E
020101;EXENTERACION DEL CONT. OR
020102;NEUROTOMIA DEL NERVIO OPT
020103;ORBITOTOMIA CON ESCISION
020104;INTRODUCCION DE SUSTANCIA
020105;REPARACION PLASTICA DE LA
020106;ENUCLEACION O EVISCERACIO
020107;ASPIRACION,LAVADO E IMPLA
020108;VITRECTOMIA CON MICROSCOP
020109;TRAT. QUIR. CORRECTOR DEL
020110;OP. DE HUMNELSHEIN SUP. D
020111;EXCENTERACION DE CONTENID
020201;RECONSTRUCCION TOT. DEL P
020202;BLEFAROPLASTIA INJ. CANTO
020203;BLEFARORRAFIA PARCIAL O T
020204;BLEFAROCHALASIS
020205;ESCISION DE LESION DE PAR
020301;CONJUNTIVOPLASTIA INJ. LI
020302;ESCISION DE LESION CONJUN
020303;INT.SUBS.TERAP.SUBC.Y EN
020304;PERIT.PERITOM.ESC ANILLO
020305;SUT.CONJ.EXTR.CUERPO EXT
020306;INT.SUB.TERAP.INY.SUBCONJ
020401;QUERAT.LAMINAR INJER.DE C
020402;QUERAT.TOTAL QUERAT. TOTA
020403;SUTURA DE CORNEA
020404;QUERATOCENTESIS UNICA INT
020405;CAUTERIZ.CORNEAL C/S RASP
020406;SUT.HERIDA CORNEA C/PROL.
020501;TRAT. QUIRURG. DEL GLAUCO
020502;TRIDATOMIA COREO. IRIDECT
