Nombre;Cuit;Especialidad;Planes;Email;Telefono;Direccion;Provincia;localidad;CP;Habilitado;codificada
12 DE AGOSTO;30648009182;FARMACIA;OSMISS-100;;;PASAJE TOMAS FERNANDEZ 1099 ESQ. AV. ANGEL BANCIELLA;Santa Cruz;RIO GALLEGOS;19098;Si;NO
12 DE AGOSTO;30648009182;FARMACIA;OSMISS-150;;;PASAJE TOMAS FERNANDEZ 1099 ESQ. AV. ANGEL BANCIELLA;Santa Cruz;RIO GALLEGOS;19098;Si;NO
12 DE AGOSTO;30648009182;FARMACIA;OSMISS-200;;;PASAJE TOMAS FERNANDEZ 1099 ESQ. AV. ANGEL BANCIELLA;Santa Cruz;RIO GALLEGOS;19098;Si;NO
A.M.U.S.I.M. I;30707233725;FARMACIA;OSMISS-100;;;GARIBALDI 310;La Pampa;SANTA ROSA;11007;Si;NO
A.M.U.S.I.M. I;30707233725;FARMACIA;OSMISS-150;;;GARIBALDI 310;La Pampa;SANTA ROSA;11007;Si;NO
A.M.U.S.I.M. I;30707233725;FARMACIA;OSMISS-200;;;GARIBALDI 310;La Pampa;SANTA ROSA;11007;Si;NO
ABADI JOSE GABRIEL;30657420642;DERMATOLOGIA;OSMISS-100;;4554 2057  ,  1151202422;CHARLONE-    555-6-11;Capital Federal;CHACARITA;;Si;NO
ABADI JOSE GABRIEL;30657420642;DERMATOLOGIA;OSMISS-150;;4554 2057  ,  1151202422;CHARLONE-    555-6-11;Capital Federal;CHACARITA;;Si;NO
ABADI JOSE GABRIEL;30657420642;DERMATOLOGIA;OSMISS-200;;4554 2057  ,  1151202422;CHARLONE-    555-6-11;Capital Federal;CHACARITA;;Si;NO
ABADIA ARENAS JULIAN ANDRES - PLAN 200;20950683474;ONCOLOGIA;OSMISS-200;;011-42294646;Ameghino 15, Bernal;Buenos Aires;BERNAL;1876;Si;NO
ABAL,ADRIANA GRACIELA;30657420642;OBSTETRICIA;OSMISS-100;;4285-2606/5290-7196;Lisandro de la Torre 571, Lomas de Zamora;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
ABAL,ADRIANA GRACIELA;30657420642;OBSTETRICIA;OSMISS-150;;4285-2606/5290-7196;Lisandro de la Torre 571, Lomas de Zamora;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
ABAL,ADRIANA GRACIELA;30657420642;OBSTETRICIA;OSMISS-200;;4285-2606/5290-7196;Lisandro de la Torre 571, Lomas de Zamora;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
ABASOLO EMILCE;27169671279;CIRUGIA GENERAL;OSMISS-100;emilceabasolo@hotmail.com;5554-8888;AV.RIVADAVIA  14252;Buenos Aires;RAMOS MEJIA;;Si;NO
ABASOLO EMILCE;27169671279;CIRUGIA GENERAL;OSMISS-150;emilceabasolo@hotmail.com;5554-8888;AV.RIVADAVIA  14252;Buenos Aires;RAMOS MEJIA;;Si;NO
ABASOLO EMILCE;27169671279;CIRUGIA GENERAL;OSMISS-200;emilceabasolo@hotmail.com;5554-8888;AV.RIVADAVIA  14252;Buenos Aires;RAMOS MEJIA;;Si;NO
ABASTO TERAN,VICTOR ARIEL;20949630618;GINECOLOGIA;OSMISS-100;;11-3650-4987;CID, Francia 2522, B1712 Castelar, Provincia de Buenos Aires;Buenos Aires;CASTELAR;;Si;NO
ABASTO TERAN,VICTOR ARIEL;20949630618;GINECOLOGIA;OSMISS-150;;11-3650-4987;CID, Francia 2522, B1712 Castelar, Provincia de Buenos Aires;Buenos Aires;CASTELAR;;Si;NO
ABASTO TERAN,VICTOR ARIEL;20949630618;GINECOLOGIA;OSMISS-200;;11-3650-4987;CID, Francia 2522, B1712 Castelar, Provincia de Buenos Aires;Buenos Aires;CASTELAR;;Si;NO
ABRAHAN CLAUDIO ROBERTO;30657420642;ODONTOPEDIATRIA;OSMISS-100;;4836 0451  ,  1144177797;Juncal 2548, B1640GQZ Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ABRAHAN CLAUDIO ROBERTO;30657420642;ODONTOPEDIATRIA;OSMISS-150;;4836 0451  ,  1144177797;Juncal 2548, B1640GQZ Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ABRAHAN CLAUDIO ROBERTO;30657420642;ODONTOPEDIATRIA;OSMISS-200;;4836 0451  ,  1144177797;Juncal 2548, B1640GQZ Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ABRAHAN MARIA SOLEDAD;30657420642;ODONTOPEDIATRIA;OSMISS-100;;48360451;Juncal 2548, B1640GQZ Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
