practica;nomenclador;valor
AC-ANTI 21 HIDROXILASA;NBU;183056,18
AC-ANTI HISTOPLASMA CAPSU;NBU;14079,63
AC-ANTI RI;NBU;46090,25
AC-ANTI TIROGLOBULINA SEN;NBU;4346,13
AC-ANTIGANGLIOSIDOS MAG(I;NBU;184195,53
ACIDO FENILACETICO;NBU;37774,47
AMINOACIDOS CUANTITATIVOS;NBU;635215,68
AMPLIFICACION 1Q - DELECI;NBU;952111,00
APO E;NBU;73097,57
BUFOTENINA URINARIA;NBU;66294,20
CALRETICULINA;NBU;86092,85
CATECOLAMINAS PLASMAT.;NBU;35256,18
CATECOLAMINAS URINARIAS;NBU;35256,18
CHLAMYDIA EN ORINA;NBU;46561,35
CITOMEGALOVIRUS TEST DE A;NBU;35238,54
CLORO EN ORINA DE 24 HS;NBU;1885,18
COENZIMA Q10;NBU;683805,75
Cuantificacion BCR-ABL;NBU;108398,12
DD-FERRITINA-PCR  COVID;NBU;56594,38
DENGUE Atg NS1;NBU;48194,83
"DETECCION DE T(11;14)";NBU;424509,17
DRVV+N;NBU;4020,29
ESTUDIO t(14,16);NBU;173580,45
FACTOR V (INHIBICION);NBU;25738,74
FENILETILAMINA;NBU;53835,10
HELICOBACTER PILORY AG EN;NBU;19379,35
HEPATITIS B (GENOTIPIFICA;NBU;154531,91
Herpes I y II IGM;NBU;15839,89
HERPES SIMPLE I-II IgM;NBU;5681,41
HEXOSANIMIDASA;NBU;232784,94
HLA DP;NBU;43396,93
HOMA;NBU;2182,36
INFLUENZA B GENOMA;NBU;48646,23
INHIBIDOR FACTOR VIII;NBU;25738,74
LEVETIRACETAM (en sangre);NBU;64756,24
MASTOCITOSIS EOSINOFILIA;NBU;187637,75
METANEFRINAS TOTALES EN O;NBU;59755,62
NIQUEL EN SANGRE;NBU;15116,47
PARAINFLUENZA ATg en secr;NBU;10607,72
PNEUMOCISTI CARINII;NBU;188906,90
PROTEINA C BIOLOGICA;NBU;31370,04
RECEPTORES P/PROGESTERONA;NBU;154665,22
REORDENAMIENTO P53;NBU;424509,17
SEROLOGIA P FIEBRE AMARIL;NBU;226646,84
SOMATOSTATINA (IGFII);NBU;1,00
TEST DE TZANCK;NBU;9397,55
VDRL CUANTITATIVA;NBU;2292,93
VIRUELA SIMICA PCR;NBU;159587,45
VITAMINA C;NBU;32378,12
