practica;nomenclador;valor
ANTIBIOGRAMA;NBU;22019,15
LEUCOCITOS MATERIA FECAL;NBU;2619,71
IDENTIFICACION DEL GERMEN;NBU;7644,59
ANAEROBIOS CULTIVO;NBU;32599,64
RECUENTO DE COLONIAS;NBU;3534,35
INV. DE CRYSTOSPORIDIUM;NBU;11529
TEST DE GRAHAM;NBU;3116,55
EXAMEN PARASITOLOGICO SERIADO;NBU;3410,14
ABSCESO CULT.ANT.;NBU;32102,8
BILIS CULT. Y ANT.;NBU;13346,99
ASPIRADO TRAQUEAL CULTIVO;NBU;10919,24
ENDOCERVIX CULT. Y ANT.;NBU;10433,69
COPROCULTIVO CULT. Y A.;NBU;28703,94
EXUDADO DE FAUCES CULT.;NBU;23091,88
ESPERMOCULTIVO;NBU;9733,59
LESION DE PIEL(CULTIVO);NBU;25079,25
LIQUIDO AMNIOTICO CULT.;NBU;13346,99
LIQUIDO ASCITICO CULT.;NBU;13346,99
EUROCOLLINS;NBU;11720,96
LIQUIDO DE PUNCION CULT -;NBU;13346,99
L SINOVIAL CULT. Y ANT.;NBU;13346,99
LCR CULT. Y ANT.;NBU;12804,98
MEDULOCULTIVO CULT. Y ANT.;NBU;13900,29
MAMTOUX;NBU;2416,46
RECTAL CULT. Y ANT.;NBU;10433,69
RECTAL M CULT Y ANT;NBU;9733,59
SECRECION BRONQUIAL C.;NBU;10919,24
ORINA 1ER. CHORRO CULT.;NBU;9733,59
SECRECION URETRAL CULT.;NBU;9733,59
VAGINAL CULT. Y ANT;NBU;10433,69
CAMPYLOBACTER CULTIVO;NBU;25079,25
YERSI?A CULT.Y ANTIBIOGR.;NBU;22459,53
EOSINÓFILOS EN EXUDADO NASAL;NBU;2021,24
BIOPSIA CULTIVO;NBU;37726,15
GOTA GRUESA;NBU;2213,2
BACILOSCOPIA;NBU;5894,35
LIQUIDO PERITONEAL POR BACTEC;NBU;24616,28
BUSQUEDA ISOPORA BELLI;NBU;14871,39
ANTIBIOGRAMA X 2;NBU;15786,04
ANTIBIOGRAMA POR 3;NBU;23679,06
IDENTIFICACION DEL GERMEN X 2;NBU;21409,39
IDENTIFICACION DEL GERMEN X 3;NBU;32102,8
IDENTIF. MICOBACTERIAS;NBU;126368,09
BAAR CULTIVO;NBU;20397,73
CATETER CULTIVO;NBU;19665,48
MICOLOGICO DIRECTO-CULT. Y/O U#A DE MANO Y/O PIE;NBU;9281,71
OIDO EXTERNO CULTIVO;NBU;15731,78
OIDO MEDIO CULTIVO;NBU;15731,78
SECRECION LAGRIMAL CULTIVO;NBU;15731,78
PRUEBA RAPIDA S.PYOGE;NBU;55316,66
AGUA CULTIVO;NBU;35398,56
ESPUTO CULTIVO;NBU;19665,48
IDENTIFICACION DE LEVADURAS;NBU;27532,83
CONTROL ESTERILIDAD SOLUCIONES;NBU;28672,41
LISTERIA CULTIVO;NBU;76840,19
HEMOCULTIVO POR LISIS CENT.POR MUESTRA;NBU;24543,39
LAVADO BRONQUEALVEOLAR;NBU;23599,04
MEDULO CULTIVO LISIS CENTRIFUGACION;NBU;18878,67
MYCOPLASMA CULTIVO;NBU;31464,97
PCR POR MICOBACTERIUM EN TUBERCULOSIS;NBU;216329,85
ANTIBIOGRAMA POR CIM POR CADA ANTIBIOTICO;NBU;45892,58
DOSAJE DE ANTIBIOT.C/MUESTRA;NBU;36822,77
CRYPTOCOCUS TINTA CHINA;NBU;33574,05
CRYPTOCOCUS ANTIGENO;NBU;52351,02
P.CARINNI (GIEMSA/GW);NBU;12413,27
LIQUIDO ASCITICO POR BACTEC;NBU;55647,15
ATB  IDENTIF.BAAR (BACTEC);NBU;156339,27
CONTROL AMBIENTAL;NBU;31464,97
HELYCOBACTER CULTIVO;NBU;60131,83
MICROSPORIDIUM DETECCION;NBU;56174,39
ASPERGILLUS ANTIGENO;NBU;188794,08
BAAR 3 MUESTRAS CULTIVO;NBU;61200,16
CHLAMYDIA PNEUMONIAE PCR;NBU;235995,69
ENTEROCOCO-VANCOMICINA-RESISTENTE CULTIVO;NBU;30678,3
INVESTIGACION DE PARASITOS;NBU;40905,65
ITRACONASOL;NBU;61161,27
LIQUIDO DE PUNCION POR BACTEC;NBU;72339,97
MICOLOGICO DIRECTO 1;NBU;15731,78
PCR MYCOPLASMA;NBU;196663,5
STREPTOCOCCUS AGALACTIAE CULTIVO;NBU;16983,08
S PNEUMONIAE ANTIGENO URINARIO;NBU;62931,36
TOXINA DE CLOSTRIDIUM DIFFICILE A Y B;NBU;125864,64
UREAPLASMA;NBU;31464,97
TOXINA BOTULINICA;NBU;235995,69
NOCARDIA CULTIVO;NBU;28319,54
VEROTOXINA EN MATERIA FECAL;NBU;28319,54
BAAR CULTIVO POR BACTEC;NBU;125864,64
CHLAMIDIA TRACHOMATIS POR INMUNOFLUORESCENCIA;NBU;47048,95
LEGIONELLA INVESTIGACION DE ANTIGENO;NBU;40905,65
CONTROL DE ESTERILIDAD CEMIC;NBU;7865,89
CONTROL DE HEMOTERAPIA;NBU;27532,83
HEMOCULTIVO AUTOMATIZADO (UNA MUESTRA);NBU;27455,91
UROCULTIVO CON IDENTIFICACION DEL GERMEN Y RECUENTO DE COLONIAS (POR M;NBU;27455,91
HEMOCULTIVO AUTOMATIZADO (DOS MUESTRAS);NBU;54538,73
HEMOCULTIVO AUTOMATIZADO (TRES MUESTRAS);NBU;62929,3
PROCARCITONINA;NBU;104883,3
CHELAMYDIA TRACCHOMATIS PCR;NBU;73417,52
DETECCION DE MECANISMOS DE RESISTENCIA POR PCR;NBU;52441,09
DOSAJE DE FUROSEMIDA EN ORINA;NBU;97166,87
ESBL;NBU;30228,9
KPC;NBU;30228,9
IDENTIFICACION GENOTIPICA DE GERMENES DIFICILES;NBU;47862,42
PSEUDOMONAS AERUGINOSA MR;NBU;20921,67
BARTONELLA HENSELAE PCR;NBU;77372,04
BORDETELLA PCR;NBU;79247,3
CHAGAS PCR;NBU;79247,3
PNEUMOCYSTIS PCR;NBU;31698,92
PCR PARA TOXINA CLOSTRIDIUM DIFFICILE;NBU;87243,36
PCR PARA DETECCIONDE CARBAPENEMASAS;NBU;21599,76
PCR STREPTOCOCCUS PNEUMONIAE;NBU;60278,4
PCR NEISSERIA MENINGITIDIS;NBU;60278,4
ANTIGUNGICOS SENSIBILIDAD;NBU;41409,14
PCR PARA MYCOPLASMA GENITALIUM;NBU;46010,16
FENOTIPIFICACION DE LEUCEMIA O  LINFOMAS,C/UN MINIMO DE 12 ANTICUERPOS;NBU;393328,15
SUBPOBLACIONES LINFOCITARIAS CD3 Y CD4;NBU;94397,53
SUBPOBLACIONES LINFOCITARIAS CD3 Y CD8;NBU;94397,53
SUBPOBLACIONES LINFOCITARIAS CD4 Y CD8;NBU;94397,53
CROSSMATCH POR CITOMETRIA DE FLUJO;NBU;314661,6
MARCADORES PARA HPN (CD 55 Y CD 59);NBU;314661,6
DETRMINACION DE STEM CELLS (CD34);NBU;94397,53
SUBPOBLACION LINFOCITARIA CD 20;NBU;43185,27
SUBPOBLACION LINFOCITARIA CD 19;NBU;43185,27
SUB POBLACION LINFOCITARIA COMPLETA (CD3-CD4-CD8-CD19-CD56);NBU;204150,72
MICRODELECIONES DEL CROMOSOMA Y;NBU;370277,78
ACTH ADRENOCORTICOTROFINA;NBU;22425,66
AFP- ALFAFETOPROTEINA;NBU;22403,07
ANTIGENO CARCINOEMBRONARIO;NBU;38053,61
CORTISOL;NBU;29121,74
DIGOXINA;NBU;22425,66
ESTRADIOL;NBU;29133,03
FENILCETONURIA;NBU;2653,59
LUTEINIZANTE;NBU;29121,74
TIROXINA LIBRE -NN 867-;NBU;22854,75
TRIIODOTIRONINA -NN 878-;NBU;17581,44
CLU-CORTISOL LIBRE URINARIO;NBU;22425,66
ADRENALINA PLASMATICA;NBU;58997,6
FENILALANINA;NBU;78664,61
"INMUNOGLOBULINA ""E""";NBU;36641,97
INSULINA;NBU;30678,75
17-HIDROXIPROGESTERONA-GLUCURONIDO-PREGNANDIOL-PROGESTERONA-PREGNANDIO;NBU;24156,64
PREGNANDIOL 3-GLUCURONIDO;NBU;8700,05
SOMATOTROFINA;NBU;24243,56
ADIONA-ANDROSTENEDIONA;NBU;32204,34
TIROTROFINA;NBU;30465,46
TIROXINA;NBU;25565,13
TIROTROFINA NEONATAL;NBU;16055,39
CA 125-ATC MONOCLONAL-OVARIO;NBU;125178,99
CA 15-3-ATC MONOCLONAL-MAMA;NBU;125178,99
CA 19-9-ATC MONOCLONAL;NBU;125178,99
CICLOSPORINA;NBU;63843,71
HSTS-ANTIC. ANTI RECEPTOR DE TSH;NBU;71797,29
ANT.PROSTAT.ESPECIF.;NBU;58997,6
TIROGLOBULINA;NBU;62884,01
TESTOSTERONA BIODISPONIBLE;NBU;63843,71
SHBG-PROT.TRANSPORT.HORM.SEXUAL.;NBU;63843,71
ANTICUERP. ANTIINSULINA;NBU;47937,42
ANTIC. ANTI/TIROPEROXIDASA;NBU;55063,7
ANTICUERP. ANTITIROGLOB.;NBU;36602,45
AFPM. ALFAFETOPROTEINA EN SUERO MATERNO.;NBU;25565,91
AGAD-ANTIC.ANTIGLUTAMICO DECAR- BOXILASA;NBU;57558,06
BHCGE-GON. CORIONICA CUALITATIVA;NBU;25565,91
CALCITONINA;NBU;27532,83
E2R-ESTRADIOL RAPIDO;NBU;47937,42
E3GE-ESTRIOL 16 GLUCURONIDO-E;NBU;31395,36
E3GF-ESTRIOL 3 GLUCURONIDO FIN  DE EMBARAZO;NBU;31395,36
GNRH-CURVA DE ESTIMULACION CON  GN-RH;NBU;237467,24
GON. CORIONICA (BHCGH) (HOMBRE);NBU;25565,91
GON.CORIONICA(BHCGM) SUERO MATERNO;NBU;25565,91
P26-PREGNANDIOL 3 GLUCURONIDO   EMBARAZO;NBU;31395,36
PTHI-PARATHORMONA MOL.INTACTA;NBU;31103,75
UE3-ESTRIOL NO CONJUGADO;NBU;92037,59
FERRITINA;NBU;47198,08
OSTEOCALCINA EN SANGRE;NBU;79743,11
B2 MICROGLOBULINA;NBU;66259,86
ERITROPROYETINA;NBU;125178,99
TRH-PRL CURVA 2 TIEMPOS;NBU;47937,42
CICLOSPORINA CURVA 4 TIEMPOS;NBU;255379,35
CORTISOL-CURVA BASAL Y VESPERTINA;NBU;47937,42
17-OHPO-CURVA 3 TIEMPOS;NBU;94186,08
STH-CURVA 5 TIEMPOS;NBU;119012,62
STH-CURVA 2 TIEMPOS;NBU;47937,42
SOMATOMEDINA-C IGF-1;NBU;99267,65
METHOTREXATE;NBU;157330,8
DIFENILHIDANTOINA;NBU;47198,08
FENOBARBITAL;NBU;47198,08
CARBAMAZEPINA;NBU;39332,3
FOLATO EN SUERO;NBU;47937,42
VITAMINA B-12;NBU;23677,65
ACIDO VALPROICO;NBU;31464,97
BENZODIAZEPINAS;NBU;48486,91
PRUEBA ACTH PARA CORTISOL 5 TPOS;NBU;119012,62
GNRH-3 TIEMPOS;NBU;148748,08
INSULINA CURVA 2 TIEMPOS;NBU;47198,08
DEOXIPIRIDINOLINA 24 HS;NBU;125178,99
TIOPENTAL;NBU;99118,4
SCREENING-TRIAGE;NBU;157330,8
FSH-FOLICULOESTIMULANTE;NBU;55316,66
PROLACTINA;NBU;31701,6
DEIDROEPIANDROST./SDHEA;NBU;23268,43
TESTOSTERONA;NBU;32204,34
TESTOSTERONA LIBRE;NBU;63843,71
TRH-TSH(3 TIEMPOS)B,20',40',ESTIMULACION CON TRH;NBU;71624,69
TBG-GLOBULINA TRANSPORTADORA;NBU;58997,6
L-PSA ANTIGENO PROSTATICO ESPECIFICO LIBRE.;NBU;77091,05
ALFA FETOPROTEINA EN LIQUIDO AMNIOTICO;NBU;19736,6
3ALFA-ANDROSTANEDIOL-GLUCURONIDO;NBU;51131,82
T3L-TRIIODOTIRONINA LIBRE;NBU;18997,22
BP-3(PROT.TRANS.FACT.CREC.INSULINO/SIMILES;NBU;133172,36
FK-506 TACROLIMUS;NBU;62931,36
PRUEBA ACTH P/CORTISOL 2 TIEMPOS;NBU;47937,42
CYFRA 21-1;NBU;117996,91
HOMOCISTEINA;NBU;102263,64
TROPONINA T(CUANTITATIVA);NBU;39332,3
ALDOSTERONA EN ORINA;NBU;35886,79
FBHCG-BHCG LIBRE;NBU;58997,6
PAPP-A PROTEINA PLAMATICA ASOCIADA A EMBARAZO;NBU;92037,59
CA 72-4 (ESTOMAGO);NBU;125178,99
GALACTOSA NEONATAL;NBU;20138,34
TEOFILINA-AMINOFILINA EN SANGRE;NBU;94397,53
TRIPSINA INMUNOREACTIVA;NBU;15731,78
CORTISOL-3 MUESTRAS;NBU;72339,97
SIROLIMUS-RAPAMICINA;NBU;100218,71
N-ACETIL-ALFA-D-GLUCOSAMINIDASA;NBU;1179984,45
CLOZAPINA;NBU;55065,66
BHCG-GONODOTROFINA CORIONICA CUANTITATIVA;NBU;38347,7
NNDHEA-DEHIDROEPIANDROSTERONA EN SUERO;NBU;27532,83
PEPTIDO C EN SANGRE;NBU;47937,42
VITAMINA A (RETINOL);NBU;55065,66
VITAMINA B6-PIRIDOXINA PLAMATICA;NBU;51131,82
17 OHPO CURVA 2 TIEMPOS;NBU;62790,72
17 OHPO-17-HIDROXIPROGESTERONA;NBU;31395,36
17OHPO-17-HIDROXIPROGESTERONA NEONATAL;NBU;31395,36
ACIDO FORMICO;NBU;27532,83
ACIDO METILHIPURICO;NBU;27532,83
ACTIVIDAD DE RENINA PLASMATICA;NBU;35791,87
ADRENALINA EN ORINA;NBU;27744,79
ALFA GALACTOSIDA A;NBU;943987,56
ANTI CASEINA IGA;NBU;62884,01
ANTI CASEINA IGG;NBU;62884,01
ANTI SOJA;NBU;63843,71
ANTICUERPOS ANTI MUSK;NBU;314661,6
CICLOSPORINA C2HS POST CARGA DE MEDICACION;NBU;63843,71
CORTISOL EN SALIVA;NBU;20082,52
CROSS LAPS (CTX);NBU;86531,94
DIAZEPAN;NBU;49110,7
DOSAJE DE ALPRAZOLAN;NBU;49110,7
DOSAJE DE COCINA;NBU;157330,8
DOSAJE DE PARACETAMOL;NBU;191786,8
DOSAJE DE TOPIRAMATO;NBU;235995,69
FSH-FOLICULOESTIMULANTE CORRIDA RAPIDA;NBU;73755,68
GALACTITOL EN ORINA;NBU;432659,7
HOMA-INDICE DE INSULINO RESISTENCIA;NBU;S/CARGO
IGE RAST(RADIO ALLERGEN SORBENT TEST)1;NBU;31464,97
INSULINA CURVA 5 TIEMPOS;NBU;117996,91
MACROPROLACTINA;NBU;41290,74
METILBUFOTENINA;NBU;61357,93
FIBROSIS QUISTICA MUTACION DELTA F508;NBU;286208,32
NNDHEA-DEHIDROEPIANDROSTERONA   ORINA;NBU;27532,83
NORADRENALINA EN ORINA(NORADREN);NBU;117995,2
NORADRENALINA PLASMATICA;NBU;58997,6
PARANITROFENOL;NBU;47937,42
PEPTIDO C CURVA 2 TIEMPOS;NBU;95876,42
PEPTIDO C CURVA 5 TIEMPOS;NBU;239693,47
PEPTIDO C EN ORINA;NBU;47937,42
PO-PROGESTERONA;NBU;31395,36
PRO.BNP IC CR;NBU;117996,91
PRUEBA DE ARGININA;NBU;119012,62
PRUEBA DE CLONIDINA;NBU;119012,62
RACO-ANTICUERPOS ANTI-RECEPTOR;NBU;157330,8
SEROTONINA PLAQUETARIA;NBU;51131,82
TG TIROGLOBULINA EN LIQUIDO DE  PUNCION;NBU;62884,01
TRIPTOFANO EN ORINA;NBU;47198,08
ACIDO ASCORBICO VIT. C;NBU;35398,56
ACIDO FENILACETICO EN ORINA;NBU;55489,59
BUFOTENINA EN ORINA;NBU;39332,3
DOPAMINA EN ORINA;NBU;31464,97
DOPAMINA EN SANGRE;NBU;62931,36
DIMETILTRIPTAMIDA EN ORINA;NBU;51131,82
SEROTONINA 5-OHTRIPTAMINA SANGRE;NBU;33959,01
MOPEG-3-METOXI-4HIDROXIFENILETILENOLICOL ORINA;NBU;51131,82
TIROSINA;NBU;18997,22
