codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
75032;TRATAMIENTO ESCLEROSANTE DE VARICES;38875,40;070681;N OSMISS;MEDIA;15000,00
110215;ESCISION LOCAL DE LESION DE CUELLO;71239,84;110215;NN;MEDIA;15000,00
121801;INFILT-MOVILIZ. MUSCULARES, PERIARTICULARES, TENDINOSAS, DE FASCIAS , DE GANGLIO;27150,21;121801;NN;BAJA;10000,00
130104;ESCISION LOCAL DE LESION DE PIEL O GLANDULA DE PIEL CICATRIZAL, INFLAMATORIA O T;98998,91;130104;NN;MEDIA;15000,00
130105;INCISION Y DRENAJE DE ABSCESO SUPERFICIAL, HIDROSADENITIS, QUISTE SEBACEO INFECT;57528,79;130105;NN;BAJA;10000,00
130106;DESTRUCCION DE LESION DE PIEL (VERRUGA, QUERTOSIS SENIL, FIBROMA, NEVUS, ETC) PO;52389,57;130106;NN;BAJA;10000,00
130107;DESTRUCCION DE LESION DE PIEL (VERRUGA, QUERTOSIS SENIL, FIBROMA, NEVUS, ETC) PO;85670,39;130107;NN;BAJA;10000,00
130108;BIOPSIA DE PIEL Y/O TEJIDO CELULAR SUBCUTANEO Y/O MUSCULAR.;57446,63;130108;NN;BAJA;10000,00
135053;CRIOCIRUGIA;38224,71;138004;N OSMISS;MEDIA;15000,00
150106;CITOLOGIA EXFOLIATIVA ONCOLOGICA.;20135,19;150106;NN;BAJA;10000,00
170101;ELECTROCARDIOGRAMA;11606,85;170101;NN;BAJA;10000,00
175004;HOLTER DE PRESION-PRESUROMETRIA;117592,60;175013;N OSMISS;MEDIA;15000,00
175006;HOLTER DE 24HORAS 3 CANALES;123944,65;175012;N OSMISS;MEDIA;15000,00
175015;ERGOMETRIA DE 12 DERIVACIONES;49478,30;175007;N OSMISS;MEDIA;15000,00
175016;TEST DE LOS 6 MINUTOS;84540,76;285006;N OSMISS;MEDIA;15000,00
175021;ERGOMETRIA CON CONSUMO DE OXIGENO ( O PEG CON CONSUMO DE OXIGENO /VO2 MAX);131569,68;175006;N OSMISS;MEDIA;15000,00
180104;ECOGRAFIA TOCOGINECOLOGICA / GINECOLOGICA;34224,97;180104;NN;BAJA;10000,00
180106;ECOGRAFIA MAMARIA UNI O BILATERAL;31132,91;180106;NN;BAJA;10000,00
180110;ECOGRAFIA TIROIDEA;20910,84;180110;NN;BAJA;10000,00
180111;ECOGRAFIA DE TESTICULOS;16500,33;180111;NN;BAJA;10000,00
180112;ECOGRAFIA COMPLETA DE ABDOMEN;43098,87;180112;NN;BAJA;10000,00
180113;ECOGRAFIA HEPATICA - BILIAR - ESPLENICA O TORACICA;39534,75;180113;NN;BAJA;10000,00
180114;ECOGRAFIA DE VEJIGA Y/O PROSTATA;28239,12;180114;NN;BAJA;10000,00
180116;ECOGRAFIA RENAL BILATERAL;34630,75;180116;NN;BAJA;10000,00
180117;ECOGRAFIA DE AORTA ABDOMINAL;31223,62;180117;NN;BAJA;10000,00
180118;ECOGRAFIA PANCREATICA O SUPRARRENAL;34369,45;180118;NN;BAJA;10000,00
