codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
660001;ACTO BIOQUIMICO;5484;660001;NBU;BAJA;10000
660002;ACETONURIA;914;660002;NBU;BAJA;10000
660004;ACIDIMETRIA GASTRICA , CURVA DE;2742;660004;NBU;BAJA;10000
660005;ACIDO BASE, ESTADO ACIDO BASE (EAB);18280;660005;NBU;BAJA;10000
660006;ACTH - HORMONA ADRENOCORTICOTROFINA;10968;660006;NBU;BAJA;10000
660007;ADDIS, RECUENTO DE;1828;660007;NBU;BAJA;10000
660009;ADRENALINA, PLASMATICA (CATECOLAMINA PLASMATICA);22850;660009;NBU;BAJA;10000
660010;ADRENALINA, URINARIA  (CATECOLAMINA URINARIA);22850;660010;NBU;BAJA;10000
660014;AGLUTININAS DEL SISTEMAS ABO;2742;660014;NBU;BAJA;10000
660015;ALBUMINA - SERICA;1371;660015;NBU;BAJA;10000
660016;ALCOHOL DEHIDROGENASA, ADH;9140;660016;NBU;BAJA;10000
660017;ALCOHOL ETILICO - SANGRE (ALCOHOLEMIA);9140;660017;NBU;BAJA;10000
660018;ALDOLASA (ALD);5484;660018;NBU;BAJA;10000
660019;ALDOSTERONA;13710;660019;NBU;BAJA;10000
660020;ALFA FETO PROTEINA (AFP);9140;660020;NBU;BAJA;10000
660022;AMILASA - SERICA;3656;660022;NBU;BAJA;10000
660023;AMILASA - URINARIA;3656;660023;NBU;BAJA;10000
660025;AMINOACIDOS FRACCIONADOS (CROMATOGRAFIA - POR FRACCION) -CUALITATIVO;11425;660025;NBU;BAJA;10000
660027;AMINOACIDURIA FRACCIONADA (CROMATOGRAFIA - POR FRACCION) -CUALITATIVO;11425;660027;NBU;BAJA;10000
660028;AMNIOTICO, LIQUIDO CELULAS NARANJAS;914;660028;NBU;BAJA;10000
660029;AMNIOTICO, LIQUIDO (ESPECTROFOTOMETRIA - TEST DE LISLEY);4570;660029;NBU;BAJA;10000
660030;AMNIOTICO, LIQUIDO LECITINA - ESFINGOMIELINA;4570;660030;NBU;BAJA;10000
660031;AMONEMIA;18280;660031;NBU;BAJA;10000
660033;ANGIOTENSINA I;27420;660033;NBU;BAJA;10000
660035;ANTIBIOGRAMA (ATBG);8226;660035;NBU;BAJA;10000
660036;ANTIBIOGRAMA BACILO DE KOCH (7) SIETE ANTIBIOTICOS;54840;660036;NBU;BAJA;10000
660040;ANTICUERPOS ANTIGLOMERULAR , (IFI);5484;660040;NBU;BAJA;10000
