codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
420101;CONSULTAS MEDICA/ TELEMEDICINA;26483;420101;NN;BAJA;20000
427101;CONSULTA GUARDIA ADULTOS;34272;425020;N OSMISS;BAJA;20000
435039;MODULO DE OBSERVACION HASTA 3 HORAS;132414;425029;N OSMISS;ALTA;20000
435038;MODULO DE OBSERVACION HASTA 6 HORAS;147992;425028;N OSMISS;ALTA;0
435103;MODULO DE OBSERVACION HASTA 12 HORAS  ;163570;405026;N OSMISS;ALTA;0
990001;MEDICACION  ;1;990001;N OSMISS;MEDIA;0
990002;DESCARTABLES;1;990002;N OSMISS;MEDIA;0
130110;SUTURA EN GUARDIA 1 AL 7;149550;130110;NN;MEDIA;15000
130111;SUTURA EN GUARDIA 7 AL 15;183822;128048;N OSMISS;MEDIA;15000
669999;PCR COVID 19;77891;663978;NBU;MEDIA;0
257119;FISIOKINESIOTERAPIA X SESION;23367;250101;NN;MEDIA;10000
257116;FISIOKINESIOTERAPIA COMPLEJA (LASER-MAGNETOTERAPIA ETC.);29598;255005;N OSMISS;MEDIA;10000
150405;PAP Y COLPO;62313;425038;NN;BAJA;20000
220108;CEPILLADO ENDOCERVICAL 22.01.08;115278;225004;N OSMISS;MEDIA;15000
110215;BIOPSIA CUELLO UTERINO / POLIPO ENDOCERVICAL;56081;110215;NN;MEDIA;15000
110311;BIOPSIA DE VULVA /ESCISION DE LESION DE PIEL DE VULVA;56081;110311;NN;MEDIA;15000
110315;DRENAJE GL BARTHOLINO;56081;110315;NN;MEDIA;15000
115009;EXTRACCION DE DIU;65428;225003;N OSMISS;MEDIA;15000
110217;COLOCACION DE DIU   - AMBULATORIO;115278;110217;NN;BAJA;10000
170101;ELECTROCARDIOGRAMA - ECG;24146;170101;NN;BAJA;10000
180103;ECOCARDIOGRAMA 2 D;77891;180103;NN;MEDIA;15000
170111;ERGOMETRIAS ADULTOS;75554;170111;NN;MEDIA;15000
170104;HOLTER ADULTOS;118394;170118;NN;MEDIA;15000
170214;PRESUROMETRIA;118394;175013;N OSMISS;MEDIA;15000
75111;CONTROL DE MARCAPASO;118394;175017;N OSMISS;MEDIA;15000
75110;CONTROL DE CARDIODESFIBRILADOR;132414;175016;N OSMISS;MEDIA;15000
185112;ECO-ESTRES CON ESFUERZO;141761;185004;N OSMISS;MEDIA;15000
280102;ESPIROMETRIA COMPUTARIZADA;101258;285028;N OSMISS;MEDIA;15000
289006;FIBROBRONCOSCOPIA;1012578;280106;NN;ALTA;20000
130106;ELECTROCOAGULACION - HASTA 5 - CORRESPONDE A PAPILOMAS, VERRUGAS VULGARES, VERRUGAS, PLANAS, VERRUGAS GENITALES, ETC.;50629;130106;NN;MEDIA;15000
130107;ELECTROCOAGULACION - MAS DE 5 - CORRESPONDE A PAPILOMAS, VERRUGAS VULGARES, VERRUGAS, PLANAS, VERRUGAS GENITALES, ETC.;78046;130107;NN;MEDIA;15000
130108;BIOPSIA;113720;130108;NN;MEDIA;15000
130403;TOPICACION - HASTA 5 - CORRESPONDE A LENTIGOS, QUERATOSIS ACTÍNICAS, ETC.;29754;138004;N OSMISS;MEDIA;15000
130415;TOPICACION - MAS DE 5 - CORRESPONDE A LENTIGOS, QUERATOSIS ACTÍNICAS, ETC.;34428;138009;N OSMISS;MEDIA;15000
130117;EXTRACCION QUISTES MULIUM Y/O NODULOS  CONTAGIOSOS - HASTA 5;45800;138010;N OSMISS;MEDIA;15000
130118;EXTRACCION QUISTES MULIUM Y/O NODULOS  CONTAGIOSOS - MAS DE 5;68232;138015;N OSMISS;MEDIA;15000
130104;EXTIRPACION NEVO - EN CONSULTORIO;87238;130104;NN;MEDIA;15000
139906;CRIOCIRUGIA;233672;138018;N OSMISS;MEDIA;15000
250104;FONIATRIA;54523;250104;NN;MEDIA;10000
290258;POTENCIALES EVOCADOS;107489;295060;N OSMISS;ALTA;20000
310102;AUDIOMETRIA;23367;310102;NN;BAJA;10000
310103;LOGOAUDIOMETRIA;23367;310103;NN;BAJA;10000
310104;SELECCIÓN DE AUDIFONOS;54523;310105;NN;BAJA;10000
310109;IMPEDANCIOMETRIA;23367;310109;NN;BAJA;10000
315014;ACUFENOMETRIA;23367;315001;N OSMISS;MEDIA;15000
310115;CAUTERIZACION NASAL-CONSULTORIO;112163;310115;NN;BAJA;10000
310122;OTOMICROSCOPIA;37388;310122;NN;BAJA;10000
310123;BIOPSIA DE OIDO-NARIZ CAVIDAD ORAL-CONSULTORIO;149550;30413;NN;BAJA;10000
310124;RINOFIBROBRONCOSCOPIA;112163;315019;N OSMISS;ALTA;20000
310127;TIMPANOMETRIA;23367;315006;N OSMISS;MEDIA;15000
310131;VIDEONISTAGMOGRAFIA;112163;315018;N OSMISS;MEDIA;15000
315008;ELECTROCOCLEOGRAFIA;81006;315010;N OSMISS;MEDIA;15000
317129;OTOEMISIONES ACUSTICAS;46734;315013;N OSMISS;MEDIA;15000
240104;UNIDAD DE GR;233672;240104;NN;ALTA;0
240107;PLAQUETAS;233672;240107;NN;ALTA;0
240173;IRRADIACION;155999;245016;N OSMISS;ALTA;0
380301;SESION  DE QUIMIOTERAPIA;308447;355001;N OSMISS;ALTA;0
207604;VEDA DIAGNOSTICA;420610;205024;N OSMISS;ALTA;0
207603;VCC DIAGNOSTICA;524983;205026;N OSMISS;ALTA;20000
207619;VEDA + VCC DIAGNOSTICA;850254;205060;N OSMISS;ALTA;20000
209057;MUCOSECTOMÍA COLÓNICA;705689;205020;N OSMISS;ALTA;20000
200157;VEDA TERAPEUTICA;498500;205025;N OSMISS;ALTA;20000
207610;VCC TERAPEUTICA;701016;205027;N OSMISS;ALTA;20000
200126;RECTOSIGMOIDOSCOPIA;501616;200126;NN;ALTA;20000
165031;BLOQUEO PERIFERICO;1121625;18009;N OSMISS;ALTA;20000
165032;BLOQUEO COLUMNA;1682438;18007;N OSMISS;ALTA;20000
150104;AP POR CONGELACIÓN;194727;150104;NN;MEDIA;15000
133006;MODULO DE CONTROL Y/O REPROGRAMACION DE MARCAPASO, CARDIODESFIBRILADOR, RESINCRONIZADOR;38245;175004;N OSMISS;MEDIA;15000
133012;MODULO A DE COLOCACION DE MARCAPASOS;1092727;70103;NN;ALTA;0
133013;MODULO B DE COLOCACION DE MARCAPASOS;1229318;70104;NN;ALTA;0
133014;MODULO C DE COLOCACION DE MARCAPASOS;1639090;78142;NN;ALTA;0
133015;MODULO D DE COLOCACION DE MARCAPASOS;2458635;78143;N OSMISS;ALTA;0
133016;MODULO E DE COLOCACION DE MARCAPASOS;2048863;78149;N OSMISS;ALTA;0
