Practica Centro;Valor;COD NBU;Descripcion NBU;Similitud;Estado
Hormona antimulleriana;100181,93;662790;ANTIMULLERIANA, HORMONA (HAM);0.8053;Encontrado
3 alfa diol glucurónido;55761,94;662666;ANDROSTENEDIOL GLUCURÓNIDO (ALFA DIOL GLUCURONIDO);0.7297;Encontrado
A.C.E;51784,21;;;;No Encontrado
A.C.R.E.;146039,97;;;;No Encontrado
A.T.P.;38607,73;;;;No Encontrado
Ac. Anti - jo - 1;21642,19;666912;JO-1, Ac. Anti-;1.0;Encontrado
Ac. Anti - s.s.b. (la);19872,94;666930;LA, Ac. Anti- (LA/SSB);0.8346;Encontrado
Ac. Anti - scl 70;19862,62;668999;SCLERODERMIA - SCL 70, Ac. Anti-;0.8162;Encontrado
Ac. Anti - sm;20091,11;669110;SM, Ac. Anti-;1.0;Encontrado
Ac. Anti gliadina iga;30223,88;669561;TOXOPLASMOSIS, Ac. IgA Anti-;0.5208;Encontrado
Ac. Anti gliadina igg;30319,07;665583;GLIADINA, Ac. IgG Anti- PÉPTIDO DEAMIDADO de (DGP-IgG Anti-);0.6254;Encontrado
Ac. Anti- r.n.p.;19917,52;666862;INSULINA, Ac. Anti- (Ac. Anti- IAA);0.6021;Encontrado
Ac. Anti- r.n.p.;19917,52;666560;IA 2, Ac. Anti- (Ac. Anti- TIROSINFOSFATASA 2);0.5854;Encontrado
Ac. Anti- r.n.p.;19917,52;665896;"HEPATITIS B, Ac. Anti- ""e"" (HBe Ac)";0.5667;Encontrado
Ac. Anti- r.n.p.;19917,52;666008;HEPATITIS E, Ac. IgG Anti-;0.541;Encontrado
Ac. Anti- r.n.p.;19917,52;668135;PARAINFLUENZA I, Ac. Anti-;0.5386;Encontrado
Ac. Anti- r.n.p.;19917,52;665939;HEPATITIS C, Ac. Anti- IgM;0.5381;Encontrado
Ac. Anti- r.n.p.;19917,52;668375;PLAQUETAS, Ac. Anti-;0.5179;Encontrado
Ac. Anti -s.s.a. (ro).;19901,60;668905;Ro, Ac. Anti- (Ro/SSA);0.8767;Encontrado
Acetona en sangre;25283,34;662051;ACETONA CUANTITATIVA - sérica;0.8106;Encontrado
Acetona en sangre;25283,34;662059;ACETONA CUANTITATIVA - urinaria;0.5309;Encontrado
ACIDO FORMICO;13380,32;;;;No Encontrado
ACIDO TRICLOROACETICO;13345,27;;;;No Encontrado
ACROSINA;66775,48;;;;No Encontrado
Adenovirus Ac. Anti (igg);28187,13;662427;ADENOVIRUS, Ac. IgG o Totales, Anti-;0.8422;Encontrado
Adenovirus Ac. Anti (igg);28187,13;662435;ADENOVIRUS, Ac. IgM, Anti-;0.7952;Encontrado
Adenovirus Ac. Anti (igg);28187,13;662446;ADENOVIRUS - PCR;0.6334;Encontrado
Adenovirus Ac. Anti (igg);28187,13;662444;ADENOVIRUS, Ag.;0.6001;Encontrado
Adenovirus Ac. Anti (igm);28187,13;662435;ADENOVIRUS, Ac. IgM, Anti-;1.0;Encontrado
Adenovirus Ac. Anti (igm);28187,13;662427;ADENOVIRUS, Ac. IgG o Totales, Anti-;0.6697;Encontrado
Adenovirus Ac. Anti (igm);28187,13;662446;ADENOVIRUS - PCR;0.6307;Encontrado
Adenovirus Ac. Anti (igm);28187,13;662444;ADENOVIRUS, Ag.;0.5976;Encontrado
Adenovirus antigeno;32057,94;662446;ADENOVIRUS - PCR;0.5845;Encontrado
Adenovirus antigeno;32057,94;662444;ADENOVIRUS, Ag.;0.5538;Encontrado
Adenovirus antigeno;32057,94;662435;ADENOVIRUS, Ac. IgM, Anti-;0.521;Encontrado
ADHESIVIDAD PLAQUET;29028,80;668358;PLAQUETARIA ADHESIVIDAD;0.5095;Encontrado
Agregación plaquetaria;21258,50;669898;VITAMINA C (plaquetaria);0.5037;Encontrado
Aldosterona orina (rie);20817,48;660019;ALDOSTERONA.;0.646;Encontrado
Aldosterona orina (rie);20817,48;662461;ALDOSTERONA - urinaria;0.5275;Encontrado
Alfa 17 hidroxiprogesterona;16100,66;667751;"NEONATAL, 17-HIDROXIPROGESTERONA (17-HO-Pg-
Neo)";0.6078;Encontrado
ALFA 2 ANTIPLASMINA;73479,09;662521;Alfa 2 ANTIPLASMINA;1.0;Encontrado
ALFA-2-MACROGLOBULINA;3666,79;;;;No Encontrado
ALPRAZOLAM;26799,85;662572;ALPRAZOLAM;1.0;Encontrado
Amikacina (f.p.i.a.);22498,25;662606;AMIKACINA;1.0;Encontrado
Amonemia;15609,60;660031;AMONEMIA.;1.0;Encontrado
ANCA Ac.anti;31926,96;663734;"CITOPLASMA DE NEUTROFILO, Ac. Anti- c/u (ANCA C, P
- c/u)";0.5927;Encontrado
Androstenodiona 4 delta;15960,69;664350;"Delta-BHC (?-HCH) - delta-HEXACLORURO de BENCENO
- delta-HEXACLORAN - delta-LINDANO - delta- 1,2,3,4,5,6-HEXACLOROCICLOHEXANO.";0.5235;Encontrado
Antic. Anti fracción mitocondrial m2;55048,64;667571;MITOCONDRIAL M2, Ac. Anti- (AMA M2);0.6524;Encontrado
Antic. Anti islotes pancreáticos;83826,79;;;;No Encontrado
Antic. Anti-actina;40545,53;;;;No Encontrado
Antic. Anti-neumococo;87903,55;667794;NEUMOCOCO, Ac. Anti-;0.7576;Encontrado
ANTIC. ANTI-TOXOIDE TETANICO;61267,98;;;;No Encontrado
Anticuerpos anti b2 gp1;129880,87;;;;No Encontrado
Anticuerpos antifosfolípidos;45581,27;;;;No Encontrado
Anticuerpos antigangliósidos gm-1;214709,26;;;;No Encontrado
Antígeno Von Willebrand;95876,54;665116;FACTOR VON WILLEBRAND, Funcional;0.6831;Encontrado
Antígeno Von Willebrand;95876,54;665119;FACTOR VON WILLEBRAND (Inmunológico);0.6791;Encontrado
ANTIMONIO  (orina);26649,39;662782;ANTIMONIO - urinario;1.0;Encontrado
ANTIMONIO  (orina);26649,39;662780;ANTIMONIO - sérico;0.709;Encontrado
Antitrombina III;41461,96;662803;ANTITROMBINA III FUNCIONAL;0.8194;Encontrado
Antitrombina III;41461,96;660058;ANTITROMBINA III - con calibración de tres (3) puntos.;0.5277;Encontrado
"Apolipoproteina ""a""";12241,27;662810;APOLIPOPROTEINA A (ApoA);0.6532;Encontrado
"Apolipoproteina ""a""";12241,27;662811;APOLIPOPROTEINA B (ApoB);0.6532;Encontrado
"Apolipoproteina ""a""";12241,27;662815;APOLIPOPROTEINA E, GENOTIPO (Apo E);0.5372;Encontrado
"Apolipoproteina ""b""";12223,63;662810;APOLIPOPROTEINA A (ApoA);0.6532;Encontrado
"Apolipoproteina ""b""";12223,63;662811;APOLIPOPROTEINA B (ApoB);0.6532;Encontrado
"Apolipoproteina ""b""";12223,63;662815;APOLIPOPROTEINA E, GENOTIPO (Apo E);0.5372;Encontrado
Arsénico en orina;20519,71;662834;ARSÉNICO - pelo;0.6045;Encontrado
Arsénico en orina;20519,71;662837;ARSÉNICO - uña;0.5321;Encontrado
Aspergillus investig.de anticuerpos;19762,64;;;;No Encontrado
Bartonella Henselae  Antic.igg;111793,32;662912;BARTONELLA HENSELAE, Ac. IgG Anti-;0.8159;Encontrado
Bartonella Henselae  Antic.igg;111793,32;662914;BARTONELLA HENSELAE, Ac. IgM Anti-;0.7112;Encontrado
Bartonella Henselae Antic. Igm;111861,88;662914;BARTONELLA HENSELAE, Ac. IgM Anti-;0.8166;Encontrado
Bartonella Henselae Antic. Igm;111861,88;662912;BARTONELLA HENSELAE, Ac. IgG Anti-;0.7114;Encontrado
