Código;Nomenclador;Práctica;Valor;Servicio
155008;N OSMISS;BIOMARCADORES C-KIT;122016,61;ANATOMIA PATOLOGICA
150104;NN;BIOPSIA POR CONGELACION Y ESTUDIO DIFERIDO DEL CORTE.;147998,98;ANATOMIA PATOLOGICA
150101;NN;BIOPSIA POR INCISION O POR PUNCION. GANGLIO, LESION DE PIEL, TROZO DE OVA;55000,00;ANATOMIA PATOLOGICA
155009;N OSMISS;CITOHISTOLOGICO DE BRONCOFIBROSCOPIA (POR MUESTRA);58839,19;ANATOMIA PATOLOGICA
150107;NN;CITOLOGIA EXFOLIATIVA HORMONAL. CADA 4 EXTENDIDOS.;52030,00;ANATOMIA PATOLOGICA
150110;NN;CITOLOGIA EXFOLIATIVA ONCOLOGICA BRONQUIAL.        POR 3 MUESTRAS.;50820,00;ANATOMIA PATOLOGICA
150111;NN;CITOLOGIA EXFOLIATIVA ONCOLOGICA DE LIQUIDOS. LAVADOS, TRASUDADOS, EXU;54450,00;ANATOMIA PATOLOGICA
150106;NN;CITOLOGIA EXFOLIATIVA ONCOLOGICA.;48400,00;ANATOMIA PATOLOGICA
155001;N OSMISS;CONSULTA DE PREPARADOS (AGREGAR LOS COD DE LOS ESTUDIOS QUE SE REALICE;62920,00;ANATOMIA PATOLOGICA
155010;N OSMISS;EBERS;145200,00;ANATOMIA PATOLOGICA
155011;N OSMISS;EML4-ALK INMUNO-HISTOQUIMICA;191180,00;ANATOMIA PATOLOGICA
155012;N OSMISS;EML4-ALK POR FISH;525745,00;ANATOMIA PATOLOGICA
155013;N OSMISS;ESTADO DE METILACION DE LAS REGIONES PROMOTORAS DE LOS GENES MMR (ML;869925,55;ANATOMIA PATOLOGICA
155014;N OSMISS;ESTUDIO ANATOMOPATOLOGICO EN EL SITIO DE LA TOMA.- CONTROL CON PATOL;55161,59;ANATOMIA PATOLOGICA
150105;NN;ESTUDIO BIOPSICO SERIADO Y SEMISERIADO, MINIMO 15. CON AUTORIZACION PRE;77000,00;ANATOMIA PATOLOGICA
150103;NN;ESTUDIO MACRO Y MICROSCOPICO DE PIEZA DE RESECCION ONCOLOGICA AMPLIA;45254,00;ANATOMIA PATOLOGICA
150102;NN;ESTUDIO MACRO Y MICROSCOPICO DE PIEZA OPERATORIA SIMPLE. VESICULA SIMP;59400,00;ANATOMIA PATOLOGICA
155015;N OSMISS;FACTORES PRONOSTICOS EN MAMA - INC RECEP HORMONALES ESTROGENOS Y PR;174751,47;ANATOMIA PATOLOGICA
155016;N OSMISS;FISH GANGLIO;859100,00;ANATOMIA PATOLOGICA
155017;N OSMISS;FISH GENERICO;435600,00;ANATOMIA PATOLOGICA
155018;N OSMISS;HER2 NEU (C-ERV 2) INMUNO-HISTOQUIMICA;70180,00;ANATOMIA PATOLOGICA
155019;N OSMISS;HER2 NEU POR FISH;392645,00;ANATOMIA PATOLOGICA
