;Practicas;MODULOS2;CODIGOS;NOMENCLADORES;cuit;nombre;nomenclador;codigo;copago_especial
010101 al 130304;Galeno quirùrgico; 1.794,21 ;010101 al 130304;NN;30714521817;SANATORIO DEL OESTE;2;010101 al 130304;3831,91
140101 al 140104;ALERGIA; -   ;140101 al 140104;NN;30714521817;SANATORIO DEL OESTE;2;140101 al 140104;1166,96
;Galeno; 560,77 ;;;30714521817;SANATORIO DEL OESTE;4;0;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
150101 al 150111;ANATOMIA PATOLOGICA; -   ;150101 al 150111;NN;30714521817;SANATORIO DEL OESTE;2;150101 al 150111;3026,99
;Galeno; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
;Gasto bioquìmico; 2.420,80 ;;;30714521817;SANATORIO DEL OESTE;4;0;2420,80
150104;Biopsia por congelación; 80.379,39 ;150104;NN;30714521817;SANATORIO DEL OESTE;2;150104;80379,39
;Gasto Quirùrgico; 1.895,57 ;160101 al 160105;NN;30714521817;SANATORIO DEL OESTE;2;160101 al 160105;1895,57
170101 al 170118;CARDIOLOGIA; -   ;170101 al 170118;NN;30714521817;SANATORIO DEL OESTE;2;170101 al 170118;1009,00
;Galeno; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
;Otros Gastos; 402,81 ;;;30714521817;SANATORIO DEL OESTE;4;0;402,81
180101 al 180121;ECOGRAFIA ; -   ;180101 al 180121;NN;30714521817;SANATORIO DEL OESTE;2;180101 al 180121;847,08
;Galeno; 321,85 ;;;30714521817;SANATORIO DEL OESTE;4;0;321,85
;Gasto Radiològico; 525,23 ;;;30714521817;SANATORIO DEL OESTE;4;0;525,23
190101 al 190103;ENDOCRINOLOGIA Y NUTRICION; -   ;190101 al 190103;NN;30714521817;SANATORIO DEL OESTE;2;190101 al 190103;1166,96
;Galeno; 560,77 ;;;30714521817;SANATORIO DEL OESTE;4;0;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
200101 al 200136;GASTROENTEROLOGIA; -   ;200101 al 200136;NN;30714521817;SANATORIO DEL OESTE;2;200101 al 200136;1166,96
;Galeno; 560,77 ;;;30714521817;SANATORIO DEL OESTE;4;0;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
220101 al 220107;GINECOLOGIA; -   ;220101 al 220107;NN;30714521817;SANATORIO DEL OESTE;2;220101 al 220107;1166,96
;Galeno; 560,77 ;;;30714521817;SANATORIO DEL OESTE;4;0;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
220108;Cepillado de epitelio vaginal y cervical para detencion HPV ; 9.183,33 ;225004;N OSMISS;30714521817;SANATORIO DEL OESTE;4;225004;9183,33
220201 al 220204;OBSTETRICIA; -   ;220201 al 220204; NN ;30714521817;SANATORIO DEL OESTE;2;220201 al 220204;1166,96
;Galeno; 560,77 ;;;30714521817;SANATORIO DEL OESTE;4;0;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
220203;Curso completo de psicoprofilaxis del parto; 113.941,18 ;220203; NN ;30714521817;SANATORIO DEL OESTE;2;220203;113941,18
220204;Control obstétrico del trabajo de parto; 93.735,29 ;220204; NN ;30714521817;SANATORIO DEL OESTE;2;220204;93735,29
230101 al 230232;HEMATOLOGIA - INMUNOLOGIA; -   ;230101 al 230232; NN ;30714521817;SANATORIO DEL OESTE;2;230101 al 230232;2375,38
;Galeno; 440,32 ;;;30714521817;SANATORIO DEL OESTE;4;0;440,32
;Gasto bioquìmico; 1.935,06 ;;;30714521817;SANATORIO DEL OESTE;4;0;1935,06
240101 al 240113;Galeno; 766,13 ;240101 al 240113; NN ;30714521817;SANATORIO DEL OESTE;2;240101 al 240113;766,13
240101 al 240113;Otros Gastos; 440,32 ;240101 al 240113; NN ;30714521817;SANATORIO DEL OESTE;2;240101 al 240113;440,32
240114 al 240121;Galeno; 606,19 ;240114 al 240121; NN ;30714521817;SANATORIO DEL OESTE;2;240114 al 240121;606,19
240114 al 240121;Gasto bioquìmico; 2.420,80 ;240114 al 240121; NN ;30714521817;SANATORIO DEL OESTE;2;240114 al 240121;2420,80
240101;modulo de tranfusion c/bolsa; 123.976,04 ;240101; NN ;30714521817;SANATORIO DEL OESTE;2;240101;123976,04
245122;modulo de tranfusion autologa c/bolsa; 107.445,88 ;245002;NN;30714521817;SANATORIO DEL OESTE;2;245002;107445,88
245104;modulo de reserva compatibilidad c/bolsa; 46.835,33 ;245053; N OSMISS ;30714521817;SANATORIO DEL OESTE;4;245053;46835,33
245109;sangre irradiada c/bolsa; 30.305,17 ;245016; N OSMISS ;30714521817;SANATORIO DEL OESTE;4;245016;30305,17
245123;sangre filtrada c/bolsa; 52.345,46 ;245030; N OSMISS ;30714521817;SANATORIO DEL OESTE;4;245030;52345,46
;KINESIOLOGIA; -   ;250101; NN ;30714521817;SANATORIO DEL OESTE;2;250101;0,00
;Galeno; 805,62 ;250102; NN ;30714521817;SANATORIO DEL OESTE;2;250102;805,62
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
270101;Hemodiálisis aguda - sesión - solo en internados; 168.690,83 ;270101;NN;30714521817;SANATORIO DEL OESTE;2;270101;168690,83
280101 al 280110;NEUMONOLOGIA; -   ;280101 al 280110;NN;30714521817;SANATORIO DEL OESTE;2;280101 al 280110;1166,96
;Galeno; 560,77 ;;;30714521817;SANATORIO DEL OESTE;4;0;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
;Galeno; 560,77 ;290101 al 290110;NN;30714521817;SANATORIO DEL OESTE;2;290101 al 290110;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
;Galeno; 560,77 ;300101 al 300122;NN;30714521817;SANATORIO DEL OESTE;2;300101 al 300122;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
;Galeno; 766,13 ;310101 al 310122;NN;30714521817;SANATORIO DEL OESTE;2;310101 al 310122;766,13
;Otros Gastos; 440,32 ;;;30714521817;SANATORIO DEL OESTE;4;0;440,32
320104;Atención del recién nacido  (dentro modulo de parto); 104.336,52 ;320104;NN;30714521817;SANATORIO DEL OESTE;2;320104;104336,52
